職缺名稱,公司,地點,薪資,來源,發布日期,適合度分數,評分原因,連結,職缺描述,要求條件
【數據發展部】助理數據分析師－產品分析中心,聯合報股份有限公司,新北市汐止區,面議,104,20260420,73.0,"技能匹配(4): sql, python, 自動化, 數據分析; 職稱完全匹配: 數據分析師; 地點符合: 新北市汐止區; [技能27+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/70mim,"在 2025 年由世界新聞出版協會（WAN-IFRA）於波蘭舉辦的全球數位媒體大獎中，聯合報系榮獲 「最佳 AI 營收策略應用」全球金獎，展現我們以數據與 AI 推動商業創新的實力。產品分析中心正是該專案的核心團隊，誠摯邀請具備數據思維與技術實力的你加入我們，一起打造下一個突破性的資料應用成就。

1.	運用數據分析工具，如 Python 或 SQL，進行數據處理、分析及報告撰寫。
2.	數據報表...",
Data Analyst Intern,融程電訊股份有限公司,新北市三重區,面議,104,20260421,72.3,"技能匹配(4): python, dashboard, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 新北市三重區; [技能27+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/8zbxn," interactive dashboards using Python and data visualization tools to provide real-time data insights
•  Clean and structure",
商業分析師 (Business Analyst),飛騰軟體科技有限公司,新北市新莊區,面議,104,20260519,71.0,"技能匹配(3): sql, 商業分析, stakeholder management; 職稱完全匹配: business analyst; 地點符合: 新北市新莊區; [技能20+職稱30+關鍵字11+地點10]",https://www.104.com.tw/job/8dl6d,"We are looking for a detail-oriented Business Analyst to bridge business needs and technical execution. You will work closely with Product, Engineering, Design, and Operations teams to drive requireme...",
量化資料分析師（Market Data / Data Quality）,優式資本股份有限公司,台北市信義區,面議,104,20260521,70.7,"技能匹配(4): sql, python, pandas, 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市信義區; [技能27+職稱30+關鍵字4+地點10]",https://www.104.com.tw/job/9078p,"）。
- 極致交易敏感度：對股市價量關係有高敏感度，能有效辨識不合理的數據跳動或市場邏輯違誤。
- 數據處理能力：精通 Python (Pandas/Polars) 或 SQL，具備處理大規模金融時間序列數據與資料清洗（Data Cleaning）",
"Business Analyst , YouTube Trust and Safety",Google,,面議,CakeResume,,70.3,"技能匹配(3): sql, python, data analytics; 職稱完全匹配: business analyst; 地點符合: ; [技能20+職稱30+關鍵字10+地點10]",https://www.cake.me/companies/Google/jobs/81457263062983366-business-analyst-youtube-trust-and-safety-3d613457afa8d3260ba1a2c9bfc21a,"Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa.
Minimum qualifications:
Bachelor's degree in Engineering, Math,...",
Business Analyst,聯想,台北,面議,LinkedIn,2026-05-12,70.3,"技能匹配(3): forecasting, dashboard, business analytics; 職稱完全匹配: business analyst; 地點符合: 台北; [技能20+職稱30+關鍵字10+地點10]",https://tw.linkedin.com/jobs/view/business-analyst-at-lenovo-4413813194,"We are Lenovo. We do what we say. We own what we do. We WOW our customers. Lenovo is a US$69 billion revenue global technology powerhouse, ranked #196 in the Fortune Global 500, and serving millions o...",
Sales Force Data Analyst,Logitech,"United Mexican States ・ Mexico City, United Mexican States",面議,CakeResume,,70.0,"技能匹配(4): machine learning, 機器學習, 數據分析, 資料分析; 職稱完全匹配: data analyst; [技能27+職稱30+關鍵字13+地點0]",https://www.cake.me/companies/logitech/jobs/b057caf8deea1001c9f4f43344860000-sales-force-data-hygiene-analyst-281fc696203342b8e29b8ecc7ad3d5,"Logitech is the Sweet Spot for people who want their actions to have a positive global impact while having the flexibility to do it in their own way.
Job Summary:
We're seeking an experienced Salesfor...",
數據分析師【今周刊─數位內容部】,今周刊_今周文化事業股份有限公司,台北市中山區,面議,104,20260408,69.7,"技能匹配(3): 預測模型, 數據分析, 跨部門溝通; 職稱完全匹配: 數據分析師; 地點符合: 台北市中山區; [技能20+職稱30+關鍵字10+地點10]",https://www.104.com.tw/job/8e0h8,"1.【必備】Google Analytics技能。 
2.【必備】熟稔Excel(函數、樞紐分析等工具）和Office各軟體。
3.每週例行性數據分析報表製作，彙整內容/社群等各式數據，問題診斷與研究，提出相關數據洞察和建議。 
4.統整會員讀者資料標籤。
5.具備基礎資料庫程式語言能力。 
6.蒐集網路讀者行為資料，分析行為特徵與需求，即時提供編輯團隊內容發展趨勢。 
7.客戶行為分析，建立預測...",
(HQ) Business Intelligence Analyst,Morrison Express,台北,面議,LinkedIn,2026-05-06,68.7,"技能匹配(3): sql, dashboard, tableau; 職稱部分匹配: business analyst; 地點符合: 台北; [技能20+職稱25+關鍵字14+地點10]",https://tw.linkedin.com/jobs/view/hq-business-intelligence-analyst-at-morrison-express-4400091904,Morrison Express is looking for a Business Intelligence (BI) Analyst to join our Global Technology Services department. This role is ideal for professionals who are passionate about transforming data ...,
電商 數據分析,Hour Loop 飛輪電商,"Xinxing District, Kaohsiung City, Taiwan 800 ・ West District, Taichung City, Taiwan 403 ・ Yongkang District, Tainan City, Taiwan 710 ・ 臺南市, 台灣 ・ 高雄市, 台灣 ・ 臺中市, 台灣 ・ 台北市, 台灣",4.5萬 ~ 5萬 TWD / 月,CakeResume,,68.3,"技能匹配(5): sql, python, tableau, 自動化, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: Xinxing District, Kaohsiung Ci; [技能33+職稱17+關鍵字8+地點10]",https://www.cake.me/companies/hour-loop/jobs/e-commerce-data-analysis-e53899,"【Hour Loop 飛輪電商】在2013年成立，並於2022年初在美國那斯達克上市。作為亞馬遜 (Amazon) 第三方賣家，我們的工作不只廠商開發，還包括商品上架、價格制定，以及物流與庫存管理，通通一手包辦。
在百萬競爭對手中，我們透過獨特的營運模式，成功實現十年來的持續成長，並脫穎而出，在2022年底躍升為亞馬遜 (Amazon) 前十名的賣家！
我們提供彈性且暢通的職涯管道，不綁年資，端看...","1. 具 1–2 年以上相關工作經驗尤佳。
2. 熟悉 Excel 基礎公式與功能（如：sum, count, xlookup, pivot, chart, VBA），具良好的數字敏感度；若具備 SQL 語法能力（如：JOIN, 欄位值轉換, 套件應用）及視覺呈現軟體（如：Looker, Tableau, PowerBI）則更佳。
3. 具備獨立專案執行能力，能準時完成並交付成果。
4. 擅長跨部..."
顧問類-顧問(數據分析與數據治理)(金融保險業),羅兵咸永道,台北,面議,LinkedIn,2025-12-29,68.3,"技能匹配(6): sql, python, machine learning, 機器學習, etl, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 台北; [技能40+職稱8+關鍵字10+地點10]",https://tw.linkedin.com/jobs/view/%E9%A1%A7%E5%95%8F%E9%A1%9E-%E9%A1%A7%E5%95%8F-%E6%95%B8%E6%93%9A%E5%88%86%E6%9E%90%E8%88%87%E6%95%B8%E6%93%9A%E6%B2%BB%E7%90%86-%E9%87%91%E8%9E%8D%E4%BF%9D%E9%9A%AA%E6%A5%AD-at-pwc-4346378285,"Job Description & Summary At PwC, our people in finance consulting specialise in providing consulting services related to financial management and strategy. These individuals analyse client needs, dev...",
<新職缺急徵>海外市場-買量數據分析師／投放數據分析師（遠端辦公，薪資可談）,歐吉科技有限公司,新北市新莊區,面議,104,20260515,68.0,"技能匹配(3): 漏斗分析, google sheets, 數據分析; 職稱完全匹配: 數據分析師; 地點符合: 新北市新莊區; [技能20+職稱30+關鍵字8+地點10]",https://www.104.com.tw/job/91cto,"【關於 歐吉】
歐吉科技立足台灣，放眼歐洲、亞洲。我們擁有年輕科技團隊，專注深耕於程式開發、系統網路技術，為客戶建置、開發高傳輸量的系統平台，解決客戶各種的IT需求、致力於讓客戶擁有更佳的IT品質與服務。

我們希望與各界優秀的人才一同工作，並用聰明、有效率的工作模式，與加入的夥伴一同成長。

《走在前端》
不間斷地實踐、創新，我們希望夥伴們都能嘗試新的想法並開發現有的功能。
我們喜歡嘗試對工作有...",
科技金融_AI與數據商業分析師（AI Business / Data Analyst）,中國信託商業銀行股份有限公司,台北市南港區,面議,104,20260522,68.0,"技能匹配(3): 數據分析, 資料分析, 商業分析; 職稱完全匹配: data analyst; 地點符合: 台北市南港區; [技能20+職稱30+關鍵字8+地點10]",https://www.104.com.tw/job/8zli3,"中國信託銀行為台灣金融業龍頭之一，同時也是金融科技與數據創新的領先機構。
我們持續投入 AI、數據與數位服務創新，打造下一代智慧金融服務。
誠摯邀請對 AI、數據與金融科技有熱情的人才加入，一起打造金融科技的未來。
工作內容：
•	規劃 AI 與數據應用場景，分析業務需求並提出 AI 應用策略。
•	透過數據分析與商業洞察，發掘金融服務與數位產品的新商機。
•	建立數據分析模型與洞察報告，支援產品...",
Client Analytics Manager,香港匯豐銀行,台北,面議,LinkedIn,2026-05-12,67.8,"技能匹配(5): sql, python, dashboard, tableau, segmentation; 職稱部分匹配: analytics engineer; 地點符合: 台北; [技能33+職稱12+關鍵字12+地點10]",https://tw.linkedin.com/jobs/view/client-analytics-manager-at-hsbc-4344523568,"International Wealth and Premier Banking is our new global business combining Retail Banking and Wealth Management; and Global Private Banking, to become one of the world’s largest global wealth manag...",
數位金融處數智應用科資料分析師,統一綜合證券股份有限公司,台北市松山區,面議,104,20260517,67.7,"技能匹配(3): 自動化, 數據分析, 商業分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市松山區; [技能20+職稱30+關鍵字8+地點10]",https://www.104.com.tw/job/8yoew,"1.規劃並執行數位經營與行銷分析，協助業務與管理單位進行決策
2.埋點規劃、分析架構設計與成效評估
3.依業務與營運需求，進行商業分析並提出具體洞察與建議
4.設計、維護核心 KPI 儀表板與自動化分析報表
5.與業務、行銷及產品單位進行需求訪談與分析規劃
6.與資料工程師合作，確保資料口徑一致與分析品質
7.主管交辦事項",
科技金融_數位數據分析規劃人員(AI Business Analyst),中國信託商業銀行股份有限公司,台北市南港區,面議,104,20260522,67.7,"技能匹配(3): a/b testing, 數據分析, 跨部門溝通; 職稱完全匹配: business analyst; 地點符合: 台北市南港區; [技能20+職稱30+關鍵字8+地點10]",https://www.104.com.tw/job/8hoc1,"1.AI 應用場景設計：深入財富管理業務，設計AI理財助理、精準行銷模型的需求與規格。
2.提示工程 (Prompt Strategy)：規劃與優化AI 溝通邏輯，確保 AI 輸出的專業度與合規性。
3.數據驅動決策：透過 A/B Testing 監測模型上線後的商業表現，持續優化客戶體驗。
4.跨部門溝通：擔任技術團隊與業務單位間的翻譯官，確保 AI 方案「既懂技術又懂賺錢」。",
"商業分析師 BA/Business Analyst -科技治理(數數發中心, DDT)_I00020521",國泰金控_國泰金融控股股份有限公司,台北市信義區,面議,104,20260519,67.3,"技能匹配(3): 數據分析, 商業分析, 跨部門溝通; 職稱完全匹配: business analyst; 地點符合: 台北市信義區; [技能20+職稱30+關鍵字7+地點10]",https://www.104.com.tw/job/8mkrb,"1. 新興技術治理與策略規劃：掌握最新金融科技與Data & AI應用趨勢，評估新興技術導入的可行性，制定符合集團治理框架與業務需求的策略藍圖，確保技術應用的合規性與風險控管。 
2.技術應用驗證： 整合內部開發資源或外部合作夥伴，進行 GenAI/AI 模型與技術應用的可行性驗證，並產出詳盡的技術與風險評估報告。
3. 跨部門溝通與資源協調：作為集團內外橋樑，負責與技術、業務、防線單位協作，對外...",
國際市場與 商業分析 師(International Market & Business Analyst),感覺銀航有限公司,"竹北市, 新竹縣, 台灣",5萬 ~ 8萬 TWD / 月,CakeResume,,67.3,"技能匹配(4): google sheets, 數據分析, 商業分析, 實驗設計; 職稱完全匹配: business analyst; [技能27+職稱30+關鍵字11+地點0]",https://www.cake.me/companies/feelingbank.vip/jobs/international-market-amp-business-analyst,"國際市場策略分析師(International Market Strategy Analyst)
薪資待遇: 月薪 50,000 – 80,000 元（依能力與經驗核定）
工作性質: 全職(on site)
本職位旨在透過市場研究與數據分析，深入理解不同國家與地區的社交與交友行為模式，協助公司精準判斷海外市場機會，並優化用戶成長策略與產品轉換效率。同時，透過用戶行為分析與成長實驗設計，提升平台的用...","工作內容
海外市場與競品分析（文化 / 行為 / 趨勢）
用戶行為數據分析（DAU、留存、轉換率）
產出數據報表與成長洞察
支援 A/B Test 與成長實驗
跨部門協作（產品 / 行銷 / 工程）
協助國際市場拓展與在地化策略
應徵條件
熟悉 Excel / Google Sheets
具基本數據分析能力與邏輯思維
英文讀寫能力佳（可閱讀國際資料）
對數據與用戶行為有高度敏感度
具市場研究 / ..."
交通規劃與資料分析師,儀衡工程技術顧問股份有限公司,台北市內湖區,面議,104,20260518,66.7,"技能匹配(3): 預測模型, 自動化, 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市內湖區; [技能20+職稱30+關鍵字7+地點10]",https://www.104.com.tw/job/8z0zn,"主要負責工作：
一、交通分析及規劃
    1.進行交通數據蒐集、整理與分析
    2.建立交通預測模型與分析方法
    3.提供交通改善策略、交通管理策略與規劃建議
    4.撰擬交通分析、交通規劃及相關報告
二、檢測資料處理與分析
    1.整理、清洗各類檢測資料（如 Excel、CSV、XML、檢測設備匯出報表等）
    2.撰寫程式協助資料整理、轉換與處理
    3.協助優化自...",
"商業數據分析師 BA/Business Analyst -商業分析(數數發中心, DDT)_I00014617",國泰金控_國泰金融控股股份有限公司,台北市信義區,面議,104,20260519,66.7,"技能匹配(3): 預測模型, 數據分析, 商業分析; 職稱完全匹配: 數據分析師; 地點符合: 台北市信義區; [技能20+職稱30+關鍵字7+地點10]",https://www.104.com.tw/job/87weo,"1. 規劃與設計以「數據驅動」為核心之商業解決方案，並整合跨單位業務合作以實務落地
2. 分析金控或子公司之數據資料，洞察客戶行為/屬性，提出符合業務專業的顧問建議
3. 建置預測模型/演算法，預測客戶商機、風險或行為屬性，協助達成商業決策或提升效率
4. 與跨組織、單位合作，執行與推動分析型專案的進行，有效組織/配合團隊合作完成專案分析任務



**請同步於 104 及以下職缺連結投遞履歷，可...",
風險控管 資料分析 師 (DS),展旺數位有限公司,"內湖區, 台北市, 台灣",8萬 ~ 12萬 TWD / 月,CakeResume,,66.7,"技能匹配(6): sql, python, tableau, machine learning, 機器學習, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 內湖區, 台北市, 台灣; [技能40+職稱8+關鍵字8+地點10]",https://www.cake.me/companies/zhanwang-digital.com/jobs/risk-management-data-analyst-ds,"1.風險數據分析
・蒐集並分析遊戲相關交易數據，偵測異常與高風險行為
・建立可視化風險控管儀表板，提供同仁觀察及定位出風險點
・建立並優化風險模型，包含詐欺偵測、異常遊戲行為分析
2.監控與報告
・建立即時監控系統，追蹤玩家與交易動態，提供即時風險警示
・定期產出風險控管報告，協助管理層決策
3.跨部門合作
・支援營運、產品與客服團隊，提供數據洞察，降低業務風險
・制定風險控管流程與防範措施
・協...","・熟悉 SQL、Python 或 R 進行數據處理與模型建置
・有風險模型、詐欺偵測、信用評相關分析經驗
・具備數據視覺化能力（Power BI、Tableau 或類似工具）
・具備異常偵測、用戶行為建模、或金融/遊戲風控分析經驗
・熟悉機器學習或深度學習模型
[特質]：
・良好邏輯思考與問題解決能力
・高度敏感度，能發現異常行為與潛在風險
・溝通協調能力，能與跨部門合作"
Data Engineer,寶潔公司,"臺北市, 台灣",面議,LinkedIn,2026-04-29,66.5,"技能匹配(9): sql, bigquery, python, forecasting, dashboard, machine learning; 職稱部分匹配: data scientist; [技能40+職稱12+關鍵字14+地點0]",https://tw.linkedin.com/jobs/view/data-engineer-at-procter-gamble-4397514485,"JOB DESCRIPTION We are seeking a highly motivated and skilled Data Engineer to join our dynamic team at P&G Taiwan. In this role, you will be instrumental in designing, developing, and maintaining rob...",
J25000 【momo Ads】數據分析師/Data Analyst(E-Commerce、RMM),富邦媒體科技股份有限公司(富邦momo),台北市內湖區,面議,104,20260521,66.3,"技能匹配(3): 數據分析, 資料分析, e-commerce; 職稱完全匹配: data analyst; 地點符合: 台北市內湖區; [技能20+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/8zstm,"慧工具的開發與進階使用經驗，能打造直觀易讀的數據看板。
●曾主導或參與跨產品線、跨部門的數據專案，能有效管理時程並推動數據驅動（Data-driven）的決策文化。",
Cost Management - Data Analyst,印度商印福思股份有限公司台灣分公司,新北市新店區,面議,104,20260520,66.3,"技能匹配(3): dashboard, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 新北市新店區; [技能20+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/91rj4," maintain cost dashboards, manage product costing data in internal systems, and ensure smooth data flow across cross‑functional",
【本土前大三金控】 Business Analyst （科技金融）,Cake Recruitment Consulting,"台北市, 台灣",面議,CakeResume,,66.3,"技能匹配(3): sql, python, 數據分析; 職稱完全匹配: business analyst; 地點符合: 台北市, 台灣; [技能20+職稱30+關鍵字6+地點10]",https://www.cake.me/companies/cake-recruitment-consulting/jobs/digital-data-analysis-and-planning-personnel-one-of-the-top-three-domestic-financial-holding-compan,"1. 精熟SQL、Python 等資料分析能力
2. 具備良好溝通協調、問題解決與邏輯思考能力，能跨部門與跨團隊合作亦可獨立作業。
3. 有金融相關產業大數據分析背景尤佳","1.負責<數據運營、AI智能>策略與應用規劃
2.以數據分析洞察客戶需求/行為/偏好為基礎並結合新AI科技之商業研發的解決方案。
3.熟悉個人金融財富管理相關產品，提供前(客戶需求洞察)、中(風險管理)、後(客戶服務)之全面性運營模式導入，需熟悉金融相關產業大數據分析，若有Prompt engineer相關背景經驗者尤佳。
4.建立並管理實驗迭代機制，以事前回溯分析、事中場景測試與事後回饋優化，提..."
【數據】資料分析師( Digital Marketing Data Analyst）,和泰聯網股份有限公司,台北市中山區,面議,104,20260518,66.0,"技能匹配(3): python, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 台北市中山區; [技能20+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/72ycg,"整／分析至建立洞察模型) 
3.	熟悉數據程式語言 (如R、Python)
4.	需具備Data Visualization（如：Data Studio, Power BI…等）
5.	進階統計模型(Regression, Clustering,",
Logistics Cost Data Analyst (工作地點: 全遠距工作 Fully Remote),印度商威普羅股份有限公司台灣分公司,新北市板橋區,面議,104,20260520,66.0,"技能匹配(3): 數據分析, 資料分析, data analytics; 職稱完全匹配: data analyst; 地點符合: 新北市板橋區; [技能20+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/8n295," teams including Data Analytics, Finance, Transportation/Fulfillment, GCM, and Product Cost to deliver timely, accurate",
Data Analyst/資料分析師,文境資科股份有限公司,台北市大安區,面議,104,20260522,65.7,"技能匹配(3): sql, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 台北市大安區; [技能20+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/8u6gh,"1. 有使用資料庫經驗(MS SQL尤佳)
2. 會撰寫SQL程式語言並擅用報表開發工具開發各式報表-具Stored Procedure撰寫經驗
3. 具獨立客戶溝通需求者優
4. 對醫療資料分析充滿熱情並具備程式開發之熱忱與積極性
5. 以公衛、醫管、資管與統計相關科系優先
6. 具經驗者佳",
RD20067 數據分析師 Data Analyst（GEO / SEO / GA4 / AI應用）,華碩電腦股份有限公司,台北市北投區,面議,104,20260303,65.7,"技能匹配(3): 自動化, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 台北市北投區; [技能20+職稱30+關鍵字6+地點10]",https://www.104.com.tw/job/7avwn,"1. GEO / SEO 優化與策略執行
協助各平台（官網、商城、ROG、ProArt、商用網站、Support）提升搜尋可見度，包含技術 SEO、內容優化與 GEO 策略。
2. 數據追蹤與分析支援
運用 GA4、GTM 等工具監測成效，分析使用者行為並提出優化建議。
3. 數據洞察與成長建議
從搜尋、流量與轉換數據中找出機會點，轉化為可執行的優化方案。
4. AI 與 Vibe C...",
D651 Member Insight Analyst(會員資料分析師),台灣大哥大股份有限公司,台北市信義區,面議,104,20260521,65.3,"技能匹配(3): dashboard, 自動化, 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市信義區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/8yeec,"1.規劃帳單與行為資料轉換為會員貢獻指標
2.規劃與分析會員中心遊戲化機制（等級、經驗值、點數、兌換）
3.會員活動成效分析、KPI 追蹤與報表產出
4.建置與優化會員相關 Dashboard 與自動化分析流程

【薪資待遇】月薪依能力與經歷核敘；若績效達平均水準者，年薪約77~95萬，績效優者年薪將更高。",
Business Intelligence Analyst,Asia Gaming Brief,台北,面議,LinkedIn,2026-05-12,65.3,"技能匹配(3): sql, dashboard, tableau; 職稱部分匹配: business analyst; 地點符合: 台北; [技能20+職稱25+關鍵字10+地點10]",https://tw.linkedin.com/jobs/view/business-intelligence-analyst-at-asia-gaming-brief-4410308399,"Type B2C or B2B Sector Business Intelligence Sphere iGaming Location: Taipei Ref SC-20260512-03 Listed 12/05/2026 00:00 Location: Taipei, Asia About The Hiring Company We are one of the world’s leadin...",
Business Assistant (AI / Data),展旺數位有限公司,"內湖區, 台北市, 台灣",4.5萬 ~ 6.5萬 TWD / 月,CakeResume,,65.2,"技能匹配(5): sql, machine learning, 機器學習, 數據分析, 資料分析; 職稱部分匹配: business analyst; 地點符合: 內湖區, 台北市, 台灣; [技能33+職稱12+關鍵字9+地點10]",https://www.cake.me/companies/zhanwang-digital.com/jobs/ai-data-business-assistant,"我們正在尋找一位對AI / Data 產品有興趣的 Business Assistant，協助團隊推動 AI / Data 專案。
您將負責需求對接、需求整理與功能驗證，並與產品、工程與資料團隊合作
讓 AI / Data 產品順利落地。如果您對AI、資料應用與產品開發流程有興趣，這會是一個很好的起點。","- 與客戶或內部團隊進行需求溝通與需求整理
- 協助將需求轉化為產品需求或功能規格
- 協助撰寫需求文件與流程文件
- 與產品、工程與資料團隊協作推動專案
- 協助進行功能測試與需求驗證
- 追蹤需求開發進度與問題
必備條件
- 0～3 年相關工作經驗（BA / Product / Data / System）
- 能使用英文進行基本溝通（會議 / Email）
- 對AI / Data / An..."
【台北】資訊部-數據分析師/資料分析師,五福旅行社股份有限公司,台北市松山區,面議,104,20260520,65.0,"技能匹配(3): sql, tableau, 數據分析; 職稱完全匹配: 數據分析師; 地點符合: 台北市松山區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/8z8l5,"1.使用 MS SQL 進行資料提取、整理與分析 
2.建立與維護報表系統（SSRS）及數據儀表板（Tableau） 
3.使用 Excel 進行進階數據分析（樞紐分析、VLOOKUP、複雜函數） 
4.分析會員行為（新客／回購／流失），提出優化建議 
5.協助行銷活動（促銷、折扣、節慶檔期）成效分析 
6.製作數據報告與簡報，提供營運與決策建議 
7.跨部門合作（產品、行銷、客服），提供數據支援",
Data Analyst,瞬聯科技股份有限公司,台北市大安區,面議,104,20260519,65.0,"技能匹配(3): dashboard, 數據分析, 資料分析; 職稱完全匹配: senior data analyst; 地點符合: 台北市大安區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/90yip,We are seeking a highly skilled Data Analyst to design and develop robust dashboards and systems that drive intelligent,
資料分析師(Data Analyst)-F060,裕隆集團移動服務事業_格上汽車租賃股份有限公司,新北市新店區,面議,104,20260518,65.0,"技能匹配(3): sql, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 新北市新店區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/7nogi,"1. 根據商業、租賃等各種角度，透過SQL撈取資料，提出假設、驗證並分析資料。洞察問題本質，並建立視覺化報表。
2. 依營運需求，提供數據關鍵指標，與其它跨職能團隊協作，保證推動數據分析結論的落地與持續優化。
3. 依據數據分析結果，製作數據分析簡報、提出營運分析建議，讓高階主管、團隊進行營運決策。
4. 內部分享各項數據分析成果以及數據產品運用，提升數據思維。
5. 其他主管交辦事項。",
【Data Analyst】數據分析師,新加坡商昇新科技股份有限公司台灣分公司,台北市內湖區,面議,104,20260514,64.7,"技能匹配(3): sql, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 台北市內湖區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/8zt8u,"常。

【核心技術挑戰】
- 大數據查詢優化：在 TB 級環境中編寫 SQL，必須理解 Partition / Cluster 原理，避免 Data Skew 與運算成本失控。
- 冷熱數據應用：靈活調用不同存儲層級的數據，平衡分析深度與系統查詢負",
外商軟體龍頭【Data Analyst 】G78,精英人力資源股份有限公司,新北市新店區,面議,104,20260522,64.7,"技能匹配(3): dashboard, 數據分析, 資料分析; 職稱完全匹配: data analyst; 地點符合: 新北市新店區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/91c8z,"外商軟體龍頭【Data Analyst】，歡迎想挑戰在多元化與全球同事合作的團隊中，追求快速成⻑環境的你應徵。

Dashboard/System Design and Development:
● Design and build",
【定期人員】數據分析師,鈊象電子股份有限公司,新北市五股區,面議,104,20260520,64.7,"技能匹配(3): sql, bigquery, 數據分析; 職稱完全匹配: 數據分析師; 地點符合: 新北市五股區; [技能20+職稱30+關鍵字5+地點10]",https://www.104.com.tw/job/8qz8c,"1.協助視覺化儀表板建置
2.協助產品議題分析作業
3.協助數據前置文書作業

專業技能：
1.具備基礎 SQL 能力（SELECT、WHERE、JOIN）
2.了解或願意學習 MSSQL 或 BigQuery 任一資料庫系統
3.做事細心、有耐心、責任心，且能配合進行資料驗證與對資料
4.具備基本文件整理能力，能將轉換流程記錄成文件",
【數據發展部】數據分析師 - 事業發展中心,聯合報股份有限公司,新北市汐止區,面議,104,20260420,64.3,"技能匹配(3): sql, python, 數據分析; 職稱完全匹配: 數據分析師; 地點符合: 新北市汐止區; [技能20+職稱30+關鍵字4+地點10]",https://www.104.com.tw/job/7o52w,"2024、2025 連續兩年獲得 WAN-IFRA 亞洲與全球金獎，以及 INMA 全球第一名。我們以數據模型與 AI 應用解決真實營運問題，並以可衡量的成果作為唯一標準。

你會做什麼
1.	主導數據如何影響內容與營運決策：從指標定義、資料模型建構到專案落地與驗證，全程對成果負責。
2.	快速 build、驗證與迭代數據與 AI 應用：專案直接進入真實場景，被使用、被挑戰、被優化。
3.	深度拆...",
【定期人員】 數據分析,鈊象電子股份有限公司,"五股區, 新北市, 台灣",196 TWD / 小時,CakeResume,,64.3,"技能匹配(5): sql, bigquery, python, tableau, 數據分析; 職稱部分匹配: 數據科學家; 地點符合: 五股區, 新北市, 台灣; [技能33+職稱17+關鍵字4+地點10]",https://www.cake.me/companies/igs/jobs/regular-staff-data-analysis,"實習工作內容
1.協助視覺化儀表板建置
2.協助產品議題分析作業
3.協助數據前置文書作業
實習配合方式
配合期間： 需配合 6 個月或 1 年。
到班時數： 每週到班 3 天（或共計 24 小時）以上。
薪資福利： 時薪 196 元，並提供餐食補助。
公司地點： 新北市五股區（靠近捷運新北產業園區站，交通便利！）","1.具備基礎 SQL 能力（SELECT、WHERE、JOIN）
2.了解或願意學習 MSSQL 或 BigQuery 任一資料庫系統
3.做事細心、有耐心、責任心，且能配合進行資料驗證與對資料
4.具備基本文件整理能力，能將轉換流程記錄成文件
擅長工具:Python, R, MS SQL, Tableau
加分條件：視覺化儀表板工具（Tableau / Looker）"
資料分析師 / ERP工程師,臺唐工業股份有限公司,台北市中山區,面議,104,20260519,64.0,"技能匹配(3): sql, tableau, 數據分析; 職稱完全匹配: 資料分析師; 地點符合: 台北市中山區; [技能20+職稱30+關鍵字4+地點10]",https://www.104.com.tw/job/81e98,"1. ERP系統維護及報表開發。
2. 熟悉掌握MS-SQL等資料庫系統及其相關工具。
3. 具備故障排除與問題解決的能力。
4. Tableau資料分析。
5. 主管交辦事項。
",
